PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
Matt Jones,69.67,627,9,2022,70.32,2180,31,47.0,-0.137,-5.059,37.0,47.0,0.156,5.755,37.0,47.0,0.74,0.156,0.027,0.557,37.0,68.5,548.0,8.0,47.0,0.557,20.611,37.0,47.0,0.027,0.984,37.0,2.0,0.0,1.0,1.0,17135503.0,83.0,-99.0,-2.3499999999999943
Luke List,69.67,627,9,2022,69.67,1881,27,47.0,-0.827,-28.11,34.0,47.0,0.67,22.778,34.0,47.0,1.699,0.67,0.576,0.453,34.0,68.89,620.0,9.0,47.0,0.453,15.419,34.0,47.0,0.576,19.57,34.0,3.0,1.0,0.0,0.0,11326475.0,58.0,64.0,0.5099999999999909
Camilo Villegas,69.67,418,6,2022,70.89,1985,28,38.0,-0.838,-16.756,20.0,38.0,-0.248,-4.952,20.0,38.0,-0.001,-0.248,-0.031,0.277,20.0,72.0,432.0,6.0,38.0,0.277,5.539,20.0,38.0,-0.031,-0.612,20.0,0.0,0.0,0.0,0.0,20672548.0,391.0,35.0,-0.8000000000000007
Keegan Bradley,69.7,697,10,2022,70.08,1822,26,49.0,-0.187,-6.719,36.0,49.0,0.423,15.224,36.0,49.0,1.253,0.423,0.523,0.307,36.0,69.2,692.0,10.0,49.0,0.307,11.051,36.0,49.0,0.523,18.829,36.0,3.0,0.0,0.0,0.0,29894261.0,69.0,-63.0,-0.539999999999992
Chris Kirk,69.73,767,11,2022,69.61,1949,28,46.0,0.026,0.861,33.0,46.0,0.378,12.46,33.0,46.0,1.245,0.378,0.375,0.492,33.0,70.11,631.0,9.0,46.0,0.492,16.224,33.0,46.0,0.375,12.39,33.0,2.0,0.0,0.0,0.0,20726557.0,85.0,-23.0,-2.3400000000000034
Sungjae Im,69.8,698,10,2022,68.92,1723,25,47.0,0.331,13.564,41.0,47.0,0.524,21.503,41.0,47.0,1.116,0.524,0.101,0.49,41.0,68.7,687.0,10.0,47.0,0.49,20.096,41.0,47.0,0.101,4.131,41.0,4.0,1.0,0.0,0.0,13978266.0,26.0,-7.0,-5.289999999999992
Hideki Matsuyama,69.8,698,10,2022,68.76,1444,21,41.0,-0.204,-7.359,36.0,41.0,0.229,8.229,36.0,41.0,1.167,0.229,0.717,0.22,36.0,68.0,680.0,10.0,41.0,0.22,7.932,36.0,41.0,0.717,25.821,36.0,4.0,2.0,0.0,0.0,38541759.0,12.0,24.0,-7.949999999999989
Tony Finau,69.83,419,6,2022,70.62,1483,21,35.0,-0.572,-14.299,25.0,35.0,0.285,7.117,25.0,35.0,0.651,0.285,0.621,-0.256,25.0,67.67,406.0,6.0,35.0,-0.256,-6.394,25.0,35.0,0.621,15.529,25.0,0.0,0.0,0.0,0.0,25767181.0,23.0,18.0,-7.950000000000017
Emiliano Grillo,69.83,419,6,2022,71.06,2203,31,42.0,-0.248,-7.432,30.0,42.0,0.387,11.624,30.0,42.0,-0.033,0.387,-0.159,-0.262,30.0,69.83,419.0,6.0,42.0,-0.262,-7.845,30.0,42.0,-0.159,-4.77,30.0,0.0,0.0,0.0,0.0,12837579.0,116.0,94.0,-2.5600000000000023
Nick Hardy,69.83,419,6,2022,70.81,1841,26,35.0,-0.267,-5.601,21.0,35.0,0.395,8.294,21.0,35.0,-0.35,0.395,-0.223,-0.523,21.0,70.6,353.0,5.0,35.0,-0.523,-10.975,21.0,35.0,-0.223,-4.677,21.0,0.0,0.0,0.0,0.0,335462.0,434.0,40.0,-1.0599999999999987
Trey Mullinax,69.83,419,6,2022,70.94,2270,32,42.0,-0.33,-9.903,30.0,42.0,0.548,16.448,30.0,42.0,0.182,0.548,-0.345,-0.021,30.0,69.17,415.0,6.0,42.0,-0.021,-0.623,30.0,42.0,-0.345,-10.364,30.0,1.0,0.0,0.0,0.0,2967657.0,311.0,114.0,-0.8599999999999994
Martin Laird,69.86,489,7,2022,70.23,1545,22,36.0,-0.46,-14.268,31.0,36.0,0.263,8.158,31.0,36.0,0.994,0.263,0.547,0.183,31.0,70.71,495.0,7.0,36.0,0.183,5.673,31.0,36.0,0.547,16.97,31.0,0.0,0.0,0.0,0.0,20079165.0,139.0,49.0,-2.0400000000000063
Taylor Moore,69.86,489,7,2022,71.07,2132,30,42.0,-0.108,-3.901,36.0,42.0,0.147,5.306,36.0,42.0,-0.059,0.147,-0.304,0.098,36.0,70.43,493.0,7.0,42.0,0.098,3.523,36.0,42.0,-0.304,-10.941,36.0,1.0,0.0,0.0,0.0,675365.0,149.0,105.0,-1.5900000000000034
Adam Scott,69.86,489,7,2022,69.38,1110,16,34.0,0.602,17.46,29.0,34.0,0.111,3.223,29.0,34.0,0.265,0.111,0.374,-0.221,29.0,70.0,490.0,7.0,34.0,-0.221,-6.407,29.0,34.0,0.374,10.857,29.0,3.0,0.0,0.0,0.0,58272599.0,36.0,-48.0,4.819999999999993
Will Zalatoris,69.88,559,8,2022,69.24,1454,21,41.0,-0.3,-8.11,27.0,41.0,0.631,17.039,27.0,41.0,1.767,0.631,1.048,0.089,27.0,71.0,568.0,8.0,41.0,0.089,2.395,27.0,41.0,1.048,28.286,27.0,3.0,0.0,1.0,0.0,5641189.0,29.0,-17.0,9.580000000000013
Troy Merritt,69.91,769,11,2022,69.64,1950,28,47.0,0.395,13.419,34.0,47.0,0.02,0.673,34.0,47.0,0.187,0.02,0.281,-0.114,34.0,71.4,714.0,10.0,47.0,-0.114,-3.862,34.0,47.0,0.281,9.544,34.0,2.0,0.0,0.0,0.0,12386325.0,98.0,-43.0,-1.0
Scott Stallings,69.91,769,11,2022,70.41,2394,34,52.0,0.509,20.379,40.0,52.0,-0.052,-2.07,40.0,52.0,-0.05,-0.052,-0.202,0.204,40.0,70.44,634.0,9.0,52.0,0.204,8.177,40.0,52.0,-0.202,-8.099,40.0,2.0,0.0,0.0,0.0,13757002.0,194.0,-54.0,2.6200000000000045
Si Woo Kim,69.92,839,12,2022,69.43,1944,28,54.0,-0.19,-8.366,44.0,54.0,0.483,21.264,44.0,54.0,0.442,0.483,-0.106,0.064,44.0,70.5,846.0,12.0,54.0,0.064,2.806,44.0,54.0,-0.106,-4.659,44.0,1.0,0.0,0.0,0.0,16005285.0,54.0,-75.0,1.0900000000000034
Russell Knox,69.92,909,13,2022,69.44,2361,34,57.0,-0.572,-26.301,46.0,57.0,0.252,11.606,46.0,57.0,0.935,0.252,0.627,0.056,46.0,70.83,850.0,12.0,57.0,0.056,2.587,46.0,57.0,0.627,28.821,46.0,2.0,0.0,0.0,0.0,16316773.0,169.0,17.0,-0.9299999999999997
Sahith Theegala,69.92,909,13,2022,69.67,2508,36,59.0,-0.111,-4.991,45.0,59.0,0.049,2.217,45.0,59.0,0.361,0.049,0.112,0.2,45.0,72.5,870.0,12.0,59.0,0.2,9.007,45.0,59.0,0.112,5.026,45.0,3.0,0.0,0.0,1.0,1348085.0,124.0,-90.0,8.870000000000005
Paul Barjon,70.0,420,6,2022,71.18,1993,28,37.0,-0.242,-7.021,29.0,37.0,0.313,9.071,29.0,37.0,-0.183,0.313,-0.064,-0.432,29.0,70.8,354.0,5.0,37.0,-0.432,-12.52,29.0,37.0,-0.064,-1.852,29.0,1.0,0.0,0.0,0.0,404232.0,326.0,39.0,-1.0600000000000023
Joel Dahmen,70.0,770,11,2022,69.29,1940,28,49.0,-0.048,-1.919,40.0,49.0,0.228,9.107,40.0,49.0,0.233,0.228,0.32,-0.315,40.0,70.09,771.0,11.0,49.0,-0.315,-12.596,40.0,49.0,0.32,12.815,40.0,2.0,0.0,0.0,0.0,8365543.0,100.0,9.0,-1.4299999999999926
Jason Day,70.0,350,5,2022,70.2,1404,20,28.0,0.176,3.871,22.0,28.0,-0.254,-5.579,22.0,28.0,-0.408,-0.254,-0.22,0.066,22.0,70.2,351.0,5.0,28.0,0.066,1.444,22.0,28.0,-0.22,-4.841,22.0,1.0,0.0,0.0,1.0,49578815.0,104.0,98.0,-2.8400000000000034
Mark Hubbard,70.0,420,6,2022,69.47,1320,19,30.0,0.253,4.295,17.0,30.0,-0.278,-4.72,17.0,30.0,0.357,-0.278,0.328,0.306,17.0,70.0,420.0,6.0,30.0,0.306,5.206,17.0,30.0,0.328,5.582,17.0,0.0,0.0,0.0,0.0,4208786.0,284.0,12.0,0.4799999999999969
Joaquin Niemann,70.0,490,7,2022,68.65,1373,20,37.0,-0.106,-2.545,24.0,37.0,0.358,8.594,24.0,37.0,1.416,0.358,0.543,0.514,24.0,69.14,484.0,7.0,37.0,0.514,12.342,24.0,37.0,0.543,13.03,24.0,3.0,1.0,0.0,0.0,12577020.0,20.0,-27.0,-3.3200000000000216
C.T. Pan,70.0,700,10,2022,70.44,1902,27,45.0,-0.008,-0.268,34.0,45.0,-0.067,-2.266,34.0,45.0,0.449,-0.067,0.2,0.315,34.0,70.56,635.0,9.0,45.0,0.315,10.7,34.0,45.0,0.2,6.817,34.0,2.0,0.0,0.0,0.0,8080886.0,131.0,2.0,-0.5300000000000011
J.J. Spaun,70.0,910,13,2022,69.64,2507,36,60.0,0.185,8.501,46.0,60.0,0.204,9.393,46.0,60.0,0.323,0.204,0.111,0.008,46.0,70.38,915.0,13.0,60.0,0.008,0.351,46.0,60.0,0.111,5.114,46.0,2.0,1.0,0.0,0.0,7292125.0,242.0,-147.0,1.490000000000002
Gary Woodland,70.0,490,7,2022,70.28,1757,25,37.0,0.334,10.689,32.0,37.0,0.113,3.623,32.0,37.0,0.704,0.113,0.508,0.082,32.0,69.5,417.0,6.0,37.0,0.082,2.626,32.0,37.0,0.508,16.255,32.0,4.0,0.0,0.0,0.0,30543418.0,92.0,-34.0,0.5300000000000011
Nate Lashley,70.1,701,10,2022,70.22,2247,32,49.0,0.193,6.577,34.0,49.0,0.035,1.184,34.0,49.0,0.199,0.035,0.088,0.076,34.0,69.11,622.0,9.0,49.0,0.076,2.593,34.0,49.0,0.088,2.978,34.0,1.0,0.0,0.0,0.0,4844820.0,306.0,-47.0,2.9899999999999984
Brian Harman,70.11,631,9,2022,69.27,1801,26,44.0,0.26,8.838,34.0,44.0,0.071,2.413,34.0,44.0,-0.013,0.071,-0.11,0.026,34.0,70.0,560.0,8.0,44.0,0.026,0.88,34.0,44.0,-0.11,-3.746,34.0,2.0,0.0,0.0,1.0,21522033.0,51.0,-130.0,9.83999999999999
Sergio Garcia,70.2,351,5,2022,69.5,834,12,25.0,0.456,8.212,18.0,25.0,0.793,14.271,18.0,25.0,0.22,0.793,-0.497,-0.077,18.0,70.6,353.0,5.0,25.0,-0.077,-1.384,18.0,25.0,-0.497,-8.94,18.0,1.0,0.0,0.0,0.0,54164770.0,50.0,-24.0,-0.8400000000000034
James Hahn,70.2,351,5,2022,70.76,1769,25,33.0,-0.888,-19.532,22.0,33.0,0.232,5.111,22.0,33.0,0.335,0.232,-0.143,0.246,22.0,72.25,289.0,4.0,33.0,0.246,5.403,22.0,33.0,-0.143,-3.149,22.0,0.0,0.0,0.0,0.0,11198878.0,307.0,79.0,-1.3099999999999987
Tyrrell Hatton,70.2,351,5,2022,68.92,827,12,26.0,1.168,21.027,18.0,26.0,-0.051,-0.919,18.0,26.0,0.371,-0.051,0.303,0.118,18.0,70.2,351.0,5.0,26.0,0.118,2.13,18.0,26.0,0.303,5.448,18.0,2.0,0.0,1.0,0.0,11988553.0,18.0,-61.0,3.460000000000008
Hudson Swafford,70.22,632,9,2022,70.61,2330,33,50.0,-0.149,-5.66,38.0,50.0,0.141,5.35,38.0,50.0,-0.102,0.141,0.441,-0.684,38.0,69.22,623.0,9.0,50.0,-0.684,-26.007,38.0,50.0,0.441,16.761,38.0,1.0,1.0,0.0,0.0,9519056.0,77.0,-78.0,-1.759999999999991
Tyler Duncan,70.25,562,8,2022,70.43,1972,28,41.0,-0.275,-6.609,24.0,41.0,0.249,5.97,24.0,41.0,0.599,0.249,0.138,0.212,24.0,69.43,486.0,7.0,41.0,0.212,5.096,24.0,41.0,0.138,3.316,24.0,0.0,0.0,0.0,0.0,4176327.0,421.0,47.0,1.0399999999999991
Harry Higgs,70.25,562,8,2022,70.55,2187,31,46.0,0.293,11.119,38.0,46.0,-0.1,-3.794,38.0,46.0,-0.776,-0.1,-0.619,-0.058,38.0,71.0,568.0,8.0,46.0,-0.058,-2.196,38.0,46.0,-0.619,-23.524,38.0,1.0,0.0,0.0,0.0,3535298.0,157.0,-3.0,-0.37999999999999545
Tyler McCumber,70.25,281,4,2022,71.75,1722,24,28.0,0.098,1.766,18.0,28.0,-0.528,-9.511,18.0,28.0,-1.353,-0.528,-0.468,-0.355,18.0,68.0,136.0,2.0,28.0,-0.355,-6.399,18.0,28.0,-0.468,-8.433,18.0,1.0,0.0,0.0,0.0,1702944.0,342.0,-28.0,-1.0899999999999999
Cameron Young,70.25,562,8,2022,69.16,1729,25,43.0,0.332,11.953,36.0,43.0,0.776,27.931,36.0,43.0,0.7,0.776,-0.063,-0.013,36.0,69.88,559.0,8.0,43.0,-0.013,-0.453,36.0,43.0,-0.063,-2.284,36.0,2.0,0.0,2.0,0.0,2309114.0,47.0,-27.0,0.730000000000004
Lucas Glover,70.27,773,11,2022,70.04,1961,28,47.0,-0.545,-22.897,42.0,47.0,0.187,7.841,42.0,47.0,0.354,0.187,0.389,-0.222,42.0,71.1,711.0,10.0,47.0,-0.222,-9.312,42.0,47.0,0.389,16.338,42.0,1.0,0.0,0.0,0.0,26752417.0,101.0,-38.0,-2.25
Kramer Hickok,70.33,633,9,2022,70.36,2322,33,49.0,0.279,8.914,32.0,49.0,0.119,3.792,32.0,49.0,-0.139,0.119,0.024,-0.282,32.0,70.5,564.0,8.0,49.0,-0.282,-9.017,32.0,49.0,0.024,0.772,32.0,1.0,0.0,0.0,0.0,2888961.0,135.0,-24.0,2.9200000000000017
Brooks Koepka,70.33,422,6,2022,70.18,1544,22,39.0,0.134,4.157,31.0,39.0,0.197,6.108,31.0,39.0,0.032,0.197,-0.004,-0.161,31.0,68.83,413.0,6.0,39.0,-0.161,-4.997,31.0,39.0,-0.004,-0.135,31.0,2.0,0.0,0.0,1.0,37919900.0,19.0,-118.0,13.349999999999994
Jordan Spieth,70.33,422,6,2022,69.71,1185,17,31.0,-0.397,-9.934,25.0,31.0,0.273,6.82,25.0,31.0,0.684,0.273,0.322,0.088,25.0,69.0,414.0,6.0,31.0,0.088,2.201,25.0,31.0,0.322,8.062,25.0,1.0,0.0,1.0,0.0,49138855.0,17.0,22.0,-4.460000000000008
Matt Wallace,70.33,211,3,2022,72.45,1449,20,26.0,-0.43,-9.036,21.0,26.0,-0.751,-15.777,21.0,26.0,-1.53,-0.751,-0.608,-0.17,21.0,69.33,208.0,3.0,26.0,-0.17,-3.579,21.0,26.0,-0.608,-12.763,21.0,1.0,0.0,0.0,0.0,4091320.0,110.0,42.0,-3.1400000000000006
Wesley Bryan,70.4,352,5,2022,71.67,1075,15,23.0,0.044,0.57,13.0,23.0,-1.057,-13.739,13.0,23.0,-0.689,-1.057,0.454,-0.086,13.0,70.5,282.0,4.0,23.0,-0.086,-1.116,13.0,23.0,0.454,5.896,13.0,0.0,0.0,0.0,0.0,3812041.0,488.0,-9.0,1.4499999999999993
Cameron Champ,70.4,352,5,2022,72.0,1296,18,24.0,-0.287,-5.449,19.0,24.0,0.48,9.127,19.0,24.0,-0.295,0.48,-0.509,-0.266,19.0,74.67,224.0,3.0,24.0,-0.266,-5.05,19.0,24.0,-0.509,-9.675,19.0,0.0,0.0,0.0,0.0,6225664.0,127.0,-1.0,-2.6500000000000057
Dylan Frittelli,70.4,704,10,2022,70.79,2407,34,51.0,-0.001,-0.039,39.0,51.0,-0.25,-9.744,39.0,51.0,0.081,-0.25,0.201,0.13,39.0,71.11,640.0,9.0,51.0,0.13,5.069,39.0,51.0,0.201,7.837,39.0,1.0,0.0,0.0,0.0,5761266.0,119.0,-97.0,-2.3599999999999994
Rickie Fowler,70.43,493,7,2022,70.61,1624,23,35.0,-0.432,-10.367,24.0,35.0,0.096,2.311,24.0,35.0,0.409,0.096,0.109,0.203,24.0,71.5,429.0,6.0,35.0,0.203,4.877,24.0,35.0,0.109,2.614,24.0,1.0,0.0,0.0,1.0,40699234.0,130.0,30.0,-2.4399999999999977
Matthew Wolff,70.43,493,7,2022,70.89,1347,19,34.0,0.464,11.146,24.0,34.0,-0.182,-4.36,24.0,34.0,-0.587,-0.182,-0.573,0.168,24.0,70.5,423.0,6.0,34.0,0.168,4.033,24.0,34.0,-0.573,-13.755,24.0,2.0,0.0,1.0,0.0,7502032.0,45.0,-36.0,-5.310000000000002
Chad Ramey,70.44,634,9,2022,70.34,2251,32,46.0,-0.209,-5.855,28.0,46.0,-0.406,-11.368,28.0,46.0,-0.26,-0.406,0.346,-0.199,28.0,70.71,495.0,7.0,46.0,-0.199,-5.58,28.0,46.0,0.346,9.683,28.0,2.0,1.0,0.0,0.0,1130842.0,118.0,-69.0,21.849999999999994
Taylor Pendrith,70.45,775,11,2022,69.81,2234,32,51.0,-0.08,-3.138,39.0,51.0,0.466,18.175,39.0,51.0,0.307,0.466,-0.147,-0.012,39.0,71.2,712.0,10.0,51.0,-0.012,-0.456,39.0,51.0,-0.147,-5.741,39.0,1.0,0.0,0.0,0.0,1238583.0,196.0,-38.0,-1.5499999999999972
Paul Casey,70.5,282,4,2022,69.1,691,10,21.0,0.096,1.725,18.0,21.0,-0.2,-3.597,18.0,21.0,0.705,-0.2,0.893,0.011,18.0,72.75,291.0,4.0,21.0,0.011,0.194,18.0,21.0,0.893,16.077,18.0,1.0,0.0,0.0,1.0,36584416.0,25.0,-31.0,-6.189999999999998
Lucas Herbert,70.5,282,4,2022,71.11,1280,18,29.0,0.82,16.399,20.0,29.0,-0.573,-11.465,20.0,29.0,-1.427,-0.573,-1.114,0.261,20.0,71.75,287.0,4.0,29.0,0.261,5.223,20.0,29.0,-1.114,-22.289,20.0,2.0,1.0,0.0,0.0,2196315.0,44.0,-3.0,1.0499999999999972
Patton Kizzire,70.5,705,10,2022,69.87,2166,31,50.0,0.042,1.759,42.0,50.0,-0.047,-1.958,42.0,50.0,0.25,-0.047,0.41,-0.114,42.0,70.6,706.0,10.0,50.0,-0.114,-4.808,42.0,50.0,0.41,17.24,42.0,1.0,0.0,0.0,0.0,10309927.0,117.0,31.0,0.09000000000000341
Keith Mitchell,70.5,705,10,2022,69.07,1865,27,49.0,0.173,6.573,38.0,49.0,0.815,30.961,38.0,49.0,1.026,0.815,0.003,0.207,38.0,68.8,688.0,10.0,49.0,0.207,7.88,38.0,49.0,0.003,0.116,38.0,4.0,0.0,0.0,1.0,8765856.0,68.0,-21.0,0.9499999999999886
Ryan Moore,70.5,282,4,2022,70.06,1261,18,23.0,-0.42,-7.136,17.0,23.0,-0.251,-4.269,17.0,23.0,0.327,-0.251,0.495,0.084,17.0,72.0,216.0,3.0,23.0,0.084,1.42,17.0,23.0,0.495,8.417,17.0,0.0,0.0,0.0,0.0,32300775.0,328.0,-3.0,-0.9800000000000004
Ian Poulter,70.5,282,4,2022,70.63,1130,16,27.0,-0.001,-0.011,22.0,27.0,-0.139,-3.051,22.0,27.0,0.243,-0.139,0.067,0.314,22.0,72.25,289.0,4.0,27.0,0.314,6.899,22.0,27.0,0.067,1.481,22.0,0.0,0.0,0.0,0.0,28027807.0,67.0,41.0,-1.8299999999999983
Martin Trainer,70.5,423,6,2022,71.28,2566,36,45.0,0.742,21.524,29.0,45.0,-0.335,-9.714,29.0,45.0,-1.523,-0.335,-1.026,-0.161,29.0,71.0,355.0,5.0,45.0,-0.161,-4.68,29.0,45.0,-1.026,-29.765,29.0,2.0,0.0,0.0,0.0,1308618.0,470.0,-76.0,3.3500000000000014
Aaron Wise,70.5,564,8,2022,69.54,1669,24,40.0,-0.26,-9.086,35.0,40.0,0.405,14.167,35.0,40.0,0.901,0.405,0.421,0.075,35.0,69.88,559.0,8.0,40.0,0.075,2.611,35.0,40.0,0.421,14.725,35.0,2.0,0.0,0.0,0.0,8409089.0,90.0,19.0,-2.489999999999995
K.H. Lee,70.55,776,11,2022,70.11,1893,27,48.0,-0.101,-4.238,42.0,48.0,0.32,13.42,42.0,48.0,0.169,0.32,-0.17,0.02,42.0,70.27,773.0,11.0,48.0,0.02,0.821,42.0,48.0,-0.17,-7.141,42.0,0.0,0.0,0.0,0.0,5622183.0,79.0,99.0,-2.780000000000001
Hank Lebioda,70.67,424,6,2022,71.06,2345,33,44.0,0.095,3.044,32.0,44.0,-0.384,-12.279,32.0,44.0,-0.545,-0.384,0.023,-0.184,32.0,71.67,430.0,6.0,44.0,-0.184,-5.876,32.0,44.0,0.023,0.728,32.0,0.0,0.0,0.0,0.0,2631503.0,257.0,146.0,-1.2399999999999949
Chez Reavie,70.7,707,10,2022,71.0,2201,31,47.0,-0.518,-19.17,37.0,47.0,-0.315,-11.671,37.0,47.0,-0.1,-0.315,0.24,-0.025,37.0,71.25,570.0,8.0,47.0,-0.025,-0.928,37.0,47.0,0.24,8.895,37.0,1.0,0.0,0.0,0.0,17904603.0,210.0,-30.0,-0.13000000000000256
Sepp Straka,70.7,707,10,2022,70.85,2338,33,55.0,0.295,10.621,36.0,55.0,0.058,2.104,36.0,55.0,-0.218,0.058,-0.097,-0.18,36.0,69.3,693.0,10.0,55.0,-0.18,-6.476,36.0,55.0,-0.097,-3.482,36.0,2.0,1.0,0.0,0.0,5691700.0,72.0,-29.0,0.9299999999999926
Brendon Todd,70.7,707,10,2022,70.5,2115,30,47.0,0.714,24.279,34.0,47.0,-0.478,-16.256,34.0,47.0,-0.317,-0.478,-0.108,0.269,34.0,70.0,630.0,9.0,47.0,0.269,9.153,34.0,47.0,-0.108,-3.671,34.0,1.0,0.0,0.0,0.0,12164886.0,162.0,-54.0,-2.6999999999999957
Charley Hoffman,70.71,495,7,2022,70.78,1628,23,37.0,-0.334,-10.007,30.0,37.0,-0.346,-10.366,30.0,37.0,-0.587,-0.346,-0.43,0.188,30.0,71.29,499.0,7.0,37.0,0.188,5.631,30.0,37.0,-0.43,-12.892,30.0,0.0,0.0,0.0,0.0,32170056.0,108.0,56.0,-3.1500000000000057
Vince Whaley,70.73,778,11,2022,70.24,2388,34,53.0,0.33,11.542,35.0,53.0,-0.043,-1.499,35.0,53.0,-0.69,-0.043,-0.445,-0.202,35.0,71.1,711.0,10.0,53.0,-0.202,-7.082,35.0,53.0,-0.445,-15.58,35.0,1.0,0.0,0.0,0.0,1508561.0,293.0,-71.0,-1.2800000000000011
Corey Conners,70.78,637,9,2022,69.48,1598,23,46.0,0.02,0.691,35.0,46.0,0.704,24.657,35.0,46.0,1.113,0.704,0.381,0.028,35.0,69.0,552.0,8.0,46.0,0.028,0.974,35.0,46.0,0.381,13.338,35.0,1.0,0.0,0.0,1.0,10905067.0,32.0,-4.0,25.19999999999999
Wyndham Clark,70.8,708,10,2022,70.07,2102,30,47.0,0.362,11.946,33.0,47.0,0.012,0.384,33.0,47.0,-0.597,0.012,-0.431,-0.178,33.0,71.56,644.0,9.0,47.0,-0.178,-5.868,33.0,47.0,-0.431,-14.215,33.0,0.0,0.0,0.0,0.0,3842221.0,278.0,96.0,-0.5600000000000023
Nick Taylor,70.82,779,11,2022,70.53,2257,32,52.0,-0.09,-3.344,37.0,52.0,0.032,1.193,37.0,52.0,0.081,0.032,0.001,0.048,37.0,70.73,778.0,11.0,52.0,0.048,1.792,37.0,52.0,0.001,0.026,37.0,0.0,0.0,0.0,0.0,8083292.0,229.0,24.0,-0.7199999999999989
Carlos Ortiz,70.86,496,7,2022,70.48,1762,25,37.0,-0.083,-2.323,28.0,37.0,-0.024,-0.677,28.0,37.0,-0.332,-0.024,0.3,-0.608,28.0,69.33,416.0,6.0,37.0,-0.608,-17.02,28.0,37.0,0.3,8.389,28.0,1.0,0.0,1.0,0.0,7645503.0,78.0,-14.0,-3.8599999999999994
Erik van Rooyen,70.86,496,7,2022,69.89,1258,18,35.0,-0.346,-9.68,28.0,35.0,0.034,0.939,28.0,35.0,0.196,0.034,0.581,-0.419,28.0,70.14,491.0,7.0,35.0,-0.419,-11.722,28.0,35.0,0.581,16.259,28.0,0.0,0.0,0.0,0.0,3686366.0,62.0,-36.0,-3.280000000000001
Patrick Rodgers,70.89,638,9,2022,70.63,2260,32,47.0,0.227,7.5,33.0,47.0,-0.159,-5.248,33.0,47.0,-0.034,-0.159,0.006,0.119,33.0,71.88,575.0,8.0,47.0,0.119,3.917,33.0,47.0,0.006,0.201,33.0,2.0,0.0,0.0,0.0,8759343.0,250.0,46.0,-1.0799999999999983
Greyson Sigg,70.92,851,12,2022,69.97,2379,34,56.0,0.06,2.263,38.0,56.0,-0.073,-2.791,38.0,56.0,-0.12,-0.073,0.088,-0.134,38.0,70.58,847.0,12.0,56.0,-0.134,-5.089,38.0,56.0,0.088,3.33,38.0,0.0,0.0,0.0,0.0,636456.0,166.0,-67.0,0.45000000000000284
Dustin Johnson,71.0,284,4,2022,70.1,701,10,25.0,0.128,2.171,17.0,25.0,0.5,8.494,17.0,25.0,0.678,0.5,0.456,-0.278,17.0,68.0,272.0,4.0,25.0,-0.278,-4.727,17.0,25.0,0.456,7.751,17.0,2.0,0.0,0.0,0.0,73926508.0,8.0,-125.58855799373043,10.539999999999992
Matthew NeSmith,71.0,781,11,2022,70.59,2400,34,52.0,-0.23,-9.219,40.0,52.0,0.131,5.259,40.0,52.0,0.491,0.131,0.441,-0.081,40.0,70.0,630.0,9.0,52.0,-0.081,-3.251,40.0,52.0,0.441,17.637,40.0,1.0,0.0,0.0,1.0,2727043.0,177.0,-117.0,17.019999999999996
Ryan Palmer,71.0,568,8,2022,70.48,1621,23,37.0,-0.697,-18.118,26.0,37.0,0.437,11.374,26.0,37.0,0.739,0.437,0.21,0.092,26.0,70.43,493.0,7.0,37.0,0.092,2.385,26.0,37.0,0.21,5.452,26.0,0.0,0.0,0.0,0.0,31540536.0,75.0,14.0,-4.740000000000009
